Country,Health posts,Health centers,Rural/District hospitals,Provincial hospitals,Specialized Hospitals,Hospitals,Year,Total_hf_densities,Region,GDP,Population,Health Expenditure,GDP Per Capita,Population Density
Bangladesh,6.21,0.02,0.04,0.08,0.04,0.17,2013,6.56,Asia,149990529207.544,154030139.0,4124894403.429814,973.773900233538,1037.519459787148
Bangladesh,6.54,0.02,0.04,0.09,0.05,2.2354014598540144,2010,8.975401459854014,Asia,115279077465.226,148391139.0,3159705722.264419,776.8595769402781,999.5361646234676
Barbados,3.86,0.0,0.0,0.7,0.35,1.05,2013,5.96,North America,4677248300.0,276865.0,350588235.6403752,16893.60627020389,643.8720930232558
Barbados,4.02,0.0,0.0,0.73,0.37,2.2354014598540144,2010,7.355401459854014,North America,4529928300.0,274711.0,306856745.99745005,16489.7958217909,638.8627906976744
Belarus,15.36,2.86,4.11,2.79,0.55,7.45,2013,33.12,Europe,75527537703.1836,9443211.0,4301742502.437811,7998.07795284714,45.4875289017341
Belarus,14.98,2.79,4.01,2.72,0.53,2.2354014598540144,2010,27.26540145985401,Europe,57231904542.8755,9483836.0,3237574764.1145024,6034.678851772163,45.68321772639692
Belize,12.05,12.05,1.21,0.3,0.6,2.11,2013,28.320000000000004,North America,2029500000.0,344688.0,114420152.15235,5887.933435454672,15.006007836308228
Belize,12.84,12.84,1.28,0.32,0.64,2.2354014598540144,2010,30.155401459854016,North America,1738500000.0,322106.0,97883263.7541,5397.291574823194,14.022899434044406
Benin,22.12099099099099,5.45,0.25,0.05,0.11,0.41,2013,28.39099099099099,Africa,12517845127.6766,10308730.0,357836690.5575423,1214.2955657657733,89.8285988149181
Benin,22.12099099099099,6.36,0.29,0.06,0.12,2.2354014598540144,2010,31.186392450845,Africa,9535345011.48728,9445710.0,285784017.95325446,1009.4894943299424,82.30838271174625
Bhutan,25.47,1.59,1.33,0.27,0.13,1.72,2013,30.51,Asia,1756214303.92609,728889.0,65118176.85467753,2409.439988703479,18.98445069542116
Bhutan,26.45,1.65,1.38,0.28,0.14,2.2354014598540144,2010,32.13540145985401,Asia,1547990907.46305,705516.0,55089822.70565146,2194.125870232638,18.37568370057821
Bosnia and Herzegovina,42.04,0.0,0.03,0.86,0.13,1.02,2013,44.080000000000005,Europe,18179104548.8804,3617559.0,1717719036.1251054,5025.240652296314,70.64165202108963
Bosnia and Herzegovina,42.82,0.0,0.03,0.88,0.13,2.2354014598540144,2010,46.09540145985402,Europe,17176320823.1892,3811088.0,1549112235.8072686,4506.933669122624,74.4207771919547
Botswana,22.12099099099099,7.032648401826484,0.79,0.35,0.15,1.29,2013,31.733639392817476,Africa,14271738366.7917,2217278.0,927539750.244794,6436.603063211604,3.811524246643632
Botswana,22.12099099099099,7.032648401826484,0.8,0.35,0.15,2.2354014598540144,2010,32.68904085267149,Africa,12637273429.1339,2091664.0,792000909.2130071,6041.732051196512,3.595592456981761
Brunei Darussalam,3.35,0.48,0.72,0.48,0.24,1.44,2013,6.709999999999999,Asia,18094326392.7086,411702.0,343487131.11848235,43950.05706241068,71.35216637781629
Brunei Darussalam,3.51,0.5,0.75,0.5,0.25,2.2354014598540144,2010,7.745401459854014,Asia,13707275498.0569,396053.0,312287504.9811484,34609.699959492544,68.64003466204507
Burkina Faso,22.12099099099099,11.89,0.25,0.0,0.05,0.31,2013,34.62099099099099,Africa,13444300489.8634,17636408.0,747948902.7630583,762.3037803311989,64.3148129239297
Burkina Faso,22.12099099099099,10.35,0.98,0.1,0.02,2.2354014598540144,2010,35.806392450845,Africa,10109619736.1442,16116845.0,529701966.59679306,627.270395424427,58.77341185909124
